Working_in,involvement_software,Age,Gender,Country,Education,employment_status,Role,Number_of_employees,project_team,Meeting_interrupted,Eye_contact,Asked_question_to_another,Presented_idea,Menial_tasks,Managing,Make_necessary_decisions,Team_values,Aggressive_or_bossy,Excluded_from_social,unfairly_treated,Biggest_obstacle,Harassment,Sexism,Growth_opportunities,Fairly compensated,Start_over,More_challenging_gender,Which_gender?,Anything_else?,Summary_or_contact
Yes,Less than 2 years,26-35,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,10.000 - 100.000,6 - 10,Sometimes,Never,Sometimes,Never,Sometimes,Untrue,Neutral,Disagree,one or two times,three or four times,I believe that my skip level manager has bias towards non-cis men and people with non-traditional backgrounds.,My team culture.,I haven't experienced or witnessed this behaviour,I have experienced this behaviour,Neutral,Disagree,Agree,Strongly agree,Female. Non-binary,,no thank you
Yes,Less than 2 years,26-35,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,1001 - 10.000,11 - 15,Rarely,Rarely,Rarely,Never,Never,Untrue,Agree,Strongly agree,no. never,no. never,Not in software. only in previous retail jobs,just experience. it's hard to get your foot in the door regardless of gender,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Agree,Female,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,6-10 years,26-35,Female,United States,Associate degree,Full-time (38+ hours a week),Developer,1001 - 10.000,1 - 5,Very often,Rarely,Sometimes,Sometimes,Never,Untrue,Agree,Strongly agree,no. never,one or two times,I have never felt this way,My largest obstacle would be the women higher up who would assign tasks to me that were either outside my job description or my experience level with the idea that I needed to prove to them I was capable ,I have experienced this behaviour,I have experienced this behaviour,Agree,Neutral,Agree,Agree,Female. Non-binary,While generalized statistics are important environment is a huge player. I've worked in a small women owned company where I was expected to achieve more because I am a woman. I've had interviews with companies push through more easily because they want to hire a woman. Getting women into stem jobs is more than trying to adjust the work environments. but also removing the stigma on young girls that stem isn't for them,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,11-15 years,36-45,Female,United States,Masters degree,Full-time (38+ hours a week),Product owner,101 - 500,6 - 10,Sometimes,Rarely,Rarely,Rarely,Rarely,True,Agree,Neutral,one or two times,one or two times,Rarely. I’ve been fortunate to have good managers and generally good teams that treat me fairly.  ,The logistics of being a mom. specifically breast feeding and needing to nurse or pump.  Sometimes would have to call in while pumping. when others could participate in person.,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Strongly agree,Agree,Female,Early in my career. being hit on was annoying and distracting.  ,no thank you
Yes,6-10 years,26-35,Female,United Kingdom,Masters degree,Full-time (38+ hours a week),Product owner,1001 - 10.000,6 - 10,Sometimes,Sometimes,Sometimes,Never,Rarely,True,Agree,Strongly agree,no. never,three or four times,Not treated unfairly as such. but often assumed to not have technical knowledge or need a man to back me up,Imposter syndrome,I have witnessed this behaviour,I have witnessed this behaviour,Agree,Strongly agree,Agree,Agree,Female. Non-binary,,Yes I would like to obtain a summary of the results
Yes,Less than 2 years,26-35,Female,United States,High school degree or equivalent,Full-time (38+ hours a week),Developer,100.000+,6 - 10,Rarely,Sometimes,Rarely,Never,Never,True,Agree,Strongly agree,no. never,no. never,,,I haven't experienced or witnessed this behaviour,I have experienced and witnessed this behaviour,Agree,Strongly agree,Strongly agree,Agree,Female. Non-binary,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,2-5 years,26-35,Female,United States,Associate degree,Full-time (38+ hours a week),Developer,101 - 500,6 - 10,Sometimes,Very often,Very often,Very often,Rarely,Untrue,Agree,Disagree,no. never,three or four times,,People not taking me seriously or not thinking I can do my job.,I have witnessed this behaviour,I have experienced this behaviour,Agree,Disagree,Neutral,Agree,Female,,no thank you
Yes,2-5 years,26-35,Female,United States,Doctorate,Full-time (38+ hours a week),Developer,100.000+,1 - 5,Very often,Never,Sometimes,Never,Sometimes,True,Agree,Agree,one or two times,More than four times,Of course; bias exists and is pervasive throughout all aspects of social interactions. Work is not immune.,,I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Agree,Agree,Neutral,Strongly agree,Female. Non-binary,,no thank you
Yes,Less than 2 years,18-25,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,100.000+,6 - 10,Rarely,Rarely,Rarely,Rarely,Rarely,True,Agree,Agree,no. never,one or two times,,Imposter syndrome. A big obstacle was learning to be less anxious about asking questions and getting help from the team.,I haven't experienced or witnessed this behaviour,I have experienced and witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Agree,Female. Non-binary,,no thank you
Yes,2-5 years,26-35,Female,Netherlands,Masters degree,Full-time (38+ hours a week),Developer,1001 - 10.000,1 - 5,Rarely,Rarely,Sometimes,Sometimes,Sometimes,True,Agree,Agree,one or two times,no. never,Nope,Ageism is still prevalent. younger engineers are not always taken as seriously as older engineers.,I haven't experienced or witnessed this behaviour,I have witnessed this behaviour,Agree,Agree,Neutral,Neutral,,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,Less than 2 years,18-25,Female,India,Bachelors degree,Full-time (38+ hours a week),Consultant Engineer,100.000+,16 - 20,Very often,Rarely,Very often,Always,Always,Untrue,Disagree,Strongly disagree,one or two times,More than four times,,,I have experienced this behaviour,I have experienced this behaviour,Agree,Strongly agree,Strongly agree,Agree,Female. Non-binary,,no thank you
Yes,Less than 2 years,26-35,Female,Germany,Masters degree,Part-time (less than 38 hours a week),Tester,Less than 10,6 - 10,Rarely,Never,Never,Never,Never,Untrue,Strongly agree,Agree,no. never,no. never,n/a,n/a,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Agree,Strongly agree,Neutral,,I've worked in the company for 9 years. but we only transitioned from online marketing to web development about 2 years ago. So I know the team much longer than I have been in the role as a tester. and I'm one of the longest employees. ,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,Less than 2 years,26-35,Female,United States,Masters degree,Full-time (38+ hours a week),Developer,100.000+,11 - 15,Sometimes,Rarely,Very often,Rarely,Rarely,Untrue,Agree,Agree,no. never,More than four times,Sometimes I feel like my opinions aren’t respected as much as some of my male peers,My first manager was incredibly racist. sexist. and homophobic. The company I work for fired her eventually. but she made our team miserable. I’m a woman too and I just couldn’t believe she was so sexist against me and the other woman on our team.,I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Agree,Agree,Strongly agree,Agree,Female. Non-binary,Despite things not being as great for women as they could be. I absolutely love being a software engineer and I’m good at it (most days!). I am grateful for the women and advocates who came before me and paved the way for me to have the opportunity to have a job I enjoy. and I hope to makes things even better for future women and gender-diverse software engineers,Yes I am willing to keep in touch in case additional information is needed.
Yes,2-5 years,26-35,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,10.000 - 100.000,6 - 10,Sometimes,Rarely,Sometimes,Never,Never,Untrue,Strongly agree,Strongly agree,no. never,no. never,I’ve not been treated unfairly. ,I’ve had a pretty easy career. ,I have witnessed this behaviour,I have witnessed this behaviour,Strongly agree,Agree,Strongly agree,Agree,Female. Non-binary,,no thank you
Yes,Less than 2 years,18-25,Female,Germany,Masters degree,Part-time (less than 38 hours a week),Developer,10.000 - 100.000,6 - 10,Never,Never,Never,Never,Never,Untrue,Agree,Strongly agree,no. never,no. never,No,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Neutral,Strongly agree,Agree,Female. Non-binary,,no thank you
Yes,6-10 years,26-35,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,501 - 1000,6 - 10,Rarely,Rarely,Rarely,Sometimes,Sometimes,Untrue,Neutral,Agree,three or four times,More than four times,Yes,Being taken seriously. perhaps due to age.,I have experienced and witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Strongly agree,Agree,Agree,Non-binary,The more intelligent my peers. the less gender identity seemed to matter.,no thank you
Yes,Less than 2 years,18-25,Female,India,Bachelors degree,Full-time (38+ hours a week),Developer,101 - 500,1 - 5,Very often,Very often,Very often,Sometimes,Sometimes,Untrue,Disagree,Neutral,one or two times,three or four times,,,I have witnessed this behaviour,I have experienced and witnessed this behaviour,Neutral,Agree,Disagree,Strongly agree,Non-binary,,no thank you
Yes,6-10 years,26-35,Female,United States,Masters degree,Full-time (38+ hours a week),Architect,1001 - 10.000,16 - 20,Rarely,Sometimes,Very often,Rarely,Sometimes,True,Neutral,Agree,no. never,three or four times,,,I haven't experienced or witnessed this behaviour,I have experienced and witnessed this behaviour,Disagree,Disagree,Strongly agree,Agree,Female. Non-binary,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,6-10 years,26-35,Female,Germany,Masters degree,Full-time (38+ hours a week),Developer,100.000+,1 - 5,Sometimes,Sometimes,Very often,Very often,Very often,True,Agree,Disagree,no. never,More than four times,Yes,Growth is to a large extent based on networking ,I have witnessed this behaviour,I have witnessed this behaviour,Agree,Agree,Neutral,Neutral,,,Yes I would like to obtain a summary of the results
Yes,6-10 years,26-35,Female,Germany,Masters degree,Full-time (38+ hours a week),Project manager,1001 - 10.000,6 - 10,Sometimes,Very often,Very often,Rarely,Sometimes,True,Agree,Neutral,three or four times,More than four times,,,I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Agree,Agree,Strongly agree,Agree,Female,,Yes I would like to obtain a summary of the results
Yes,Less than 2 years,18-25,Female,United States,High school degree or equivalent,Unemployed (looking for a job),Developer,1001 - 10.000,1 - 5,Very often,Very often,Very often,Sometimes,Very often,Untrue,Agree,Neutral,one or two times,one or two times,Yes. I do my best to be competent and civil but am often ignored at best or treated with contempt at worst.,Sexism,I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Agree,Neutral,Agree,Strongly agree,Female,,Yes I would like to obtain a summary of the results
Yes,11-15 years,26-35,Female,Netherlands,Masters degree,Self-employed,Architect,Less than 10,1 - 5,Rarely,Sometimes,Sometimes,Rarely,Never,True,Agree,Agree,More than four times,More than four times,Countless times. I get paid less than my male colleagues. I have to prove myself strongly before I get taken seriously unlike most male colleagues. There was an occasion when my team members told me they had a problem with my gender. after I asked for a reason to why they were giving me a hard time. My male manager at the time has done nothing to fix the situation. A male colleague raised his hand once to me because he didn't like my argument during a sprint retrospective meeting. On technical forums if my gender is visible. I receive different (often untolerating) responses.,Gender inequality is the biggest obstacle I face in software industry. The day to day struggle with gender bias is too tiring.,I have experienced this behaviour,I have experienced this behaviour,Strongly agree,Agree,Agree,Strongly agree,Female,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,2-5 years,26-35,Female,Greece,Masters degree,Full-time (38+ hours a week),Research engineer,1001 - 10.000,1 - 5,Rarely,Never,Never,Never,Never,Untrue,Neutral,Agree,no. never,no. never,During my one year internship. among other interns. I was assigned very few things because I didn't have much knowledge.,Lack of computer networking knowledge. lack of self confidence.,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Strongly agree,Neutral,Neutral,,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,2-5 years,26-35,Female,Greece,Masters degree,Full-time (38+ hours a week),Research engineer,101 - 500,1 - 5,Sometimes,Rarely,Never,Never,Never,Untrue,Disagree,Neutral,no. never,no. never,no. I haven't.,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Neutral,Agree,Agree,Strongly disagree,,,Yes I would like to obtain a summary of the results
Yes,6-10 years,26-35,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,10 - 100,1 - 5,Sometimes,Never,Very often,Sometimes,Never,True,Disagree,Strongly disagree,no. never,More than four times,yes. I have had previous work experience where people have questioned by thoughts. Once a junior software engineer disagreed with me on how to approach something. so we talked to another software engineer around the same experience level as me. The other software engineer also disagreed. despite not having as much experience as me. I strongly stated we should discuss with the architecture team. and the architecture team sided with me. and no one questioned anything.,I've had many instances in my past where I felt excluded. and when I feel excluded at work. it feels like a chronic issue with me. rather than just a fact. that the software industry isn't always the most inclusive.,I have witnessed this behaviour,I have experienced and witnessed this behaviour,Disagree,Strongly disagree,Neutral,Strongly agree,Female. Non-binary,,Yes I would like to obtain a summary of the results
Yes,6-10 years,36-45,Female,Germany,Masters degree,Part-time (less than 38 hours a week),Product owner,10.000 - 100.000,1 - 5,Very often,Sometimes,Sometimes,Very often,Sometimes,Untrue,Disagree,Strongly agree,no. never,More than four times,Yes. Professional Experience not valued enough.,Getting common understanding and “political” influences in decision takers,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Neutral,Disagree,Neutral,Agree,Female,Being mom and working part time seems to influence the possibility to get promoted,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,2-5 years,18-25,Male,United States,Bachelors degree,Full-time (38+ hours a week),Data Engineer,10 - 100,1 - 5,Rarely,Never,Sometimes,Rarely,Never,True,Agree,Agree,no. never,no. never,No,Project managers trying to decide how something should be implemented without the technical knowledge to base their decisions on,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Agree,Disagree,Agree,Female,,Yes I would like to obtain a summary of the results
Yes,2-5 years,18-25,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,100.000+,26+,Sometimes,Never,Never,Never,Sometimes,Untrue,Strongly disagree,Strongly agree,one or two times,one or two times,As the only woman in my department. I have felt like I've been treated differently. I've experienced some sexism/stereotypes about being a woman. and sometimes my coworkers would hit on me. which makes me uncomfortable.,Sometimes I feel like I'm not good enough for a technical job.,I have experienced this behaviour,I have experienced this behaviour,Agree,Agree,Strongly agree,Agree,Female. Non-binary,,Yes I would like to obtain a summary of the results
Yes,Less than 2 years,18-25,Female,Canada,Bachelors degree,Full-time (38+ hours a week),Developer,501 - 1000,6 - 10,Very often,Always,Always,Always,Very often,Untrue,Neutral,Disagree,three or four times,More than four times,Yes. I was the first woman in our office of 50 software engineers. and my gender used to be brought up almost daily. Very frequently. my system knowledge is underestimated and people don't ask me questions that I would be the most knowledgeable about on the team to answer. Less frequently. some of my colleagues are unused to working with women and don't know how to treat them as equal team members in a professional setting,Definitely sexism and misogyny. I hope to one day find a workplace where I'm not constantly trying to advocate for my own gender,I have experienced this behaviour,I have experienced this behaviour,Agree,Neutral,Agree,Strongly agree,Female. Non-binary,,no thank you
Yes,2-5 years,26-35,Male,Germany,Masters degree,Full-time (38+ hours a week),Data scientist,10 - 100,1 - 5,Very often,Sometimes,Rarely,Never,Never,Untrue,Disagree,Agree,no. never,one or two times,Yes. Even though the recruitment was for a lead software architect. software development decisions were interrupted by non experts due to their insecurities.,Trust issues even though work output was much higher than expected.,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Agree,Neutral,,No,no thank you
Yes,Less than 2 years,26-35,Male,Germany,Masters degree,Full-time (38+ hours a week),Developer,501 - 1000,16 - 20,Rarely,Never,Rarely,Rarely,Rarely,Untrue,Agree,Agree,no. never,one or two times,No,The teams working in different locations.,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Agree,Agree,Male,,Yes I would like to obtain a summary of the results
Yes,21+ years,46-55,Male,Netherlands,Bachelors degree,Full-time (38+ hours a week),Architect,10.000 - 100.000,6 - 10,Rarely,Never,Sometimes,Never,Never,True,Agree,Agree,no. never,one or two times,,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Neutral,Agree,Agree,Disagree,,,Yes I would like to obtain a summary of the results
Yes,21+ years,46-55,Male,Netherlands,Masters degree,Full-time (38+ hours a week),Developer + architect + product owner + tester,10 - 100,1 - 5,Sometimes,Rarely,Rarely,Never,Rarely,True,Agree,Agree,no. never,one or two times,no,lack of time and being dependent on others,I have witnessed this behaviour,I have witnessed this behaviour,Neutral,Neutral,Disagree,Agree,Female. Non-binary,no,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,6-10 years,36-45,Male,Netherlands,Masters degree,Full-time (38+ hours a week),Developer,101 - 500,6 - 10,Very often,Never,Rarely,Sometimes,Rarely,True,Neutral,Agree,no. never,one or two times,Received very good results from yearly reviews but promotion goes to others,Communication in a multi cultural team,I have experienced this behaviour,I haven't experienced or witnessed this behaviour,Neutral,Agree,Strongly agree,Disagree,,,Yes I would like to obtain a summary of the results
Yes,21+ years,46-55,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,10.000 - 100.000,6 - 10,Rarely,Rarely,Rarely,Rarely,Never,Untrue,Agree,Agree,one or two times,no. never,,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Agree,Female,,no thank you
Yes,21+ years,46-55,Male,Sweden,Doctorate,Full-time (38+ hours a week),Architect,501 - 1000,6 - 10,Rarely,Rarely,Rarely,Sometimes,Never,Untrue,Strongly agree,Strongly agree,one or two times,one or two times,no. I have ben very privileged in that respect,Age discrimination,I have witnessed this behaviour,I have witnessed this behaviour,Disagree,Disagree,Strongly agree,Neutral,,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,21+ years,46-55,Male,Netherlands,Bachelors degree,Full-time (38+ hours a week),Developer,Less than 10,6 - 10,Sometimes,Sometimes,Rarely,Never,Never,Untrue,Agree,Agree,no. never,no. never,Request to hack a number of features in. due to the fact that commerce department sold a project too cheap and wanted to at least break even on the contract,Keeping to my own quality standards. which are usually higher then the customer's demand,I have witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Strongly agree,Neutral,Agree,Female. Non-binary,,no thank you
Yes,11-15 years,36-45,Male,Netherlands,High school degree or equivalent,Full-time (38+ hours a week),Site Reliability Engineer,1001 - 10.000,1 - 5,Sometimes,Rarely,Rarely,Rarely,Never,Untrue,Strongly agree,Agree,one or two times,one or two times,yes. but I'm on the positive side of the unfairness. Everybody listens when I speak. They keep promoting me and giving me more money. Yes I work hard. but it probably shouldn't be this easy.,Finding the confidence to consider myself an expert. I'm super-privileged and super passionate about software engineering. Therefor I'm in the fortunate position that the biggest obstacles I face are the ones I put on myself. overcoming my impostor syndrome is a continuing struggle. but peanuts when compared to what others face.,I have witnessed this behaviour,I have witnessed this behaviour,Strongly agree,Strongly agree,Agree,Strongly agree,Female. Non-binary,I would love it if this research leads to concrete improvements. because we have a long way to go.,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,16-20 years,36-45,Female,Netherlands,Masters degree,Full-time (38+ hours a week),Developer,1001 - 10.000,1 - 5,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Untrue,Agree,Agree,More than four times,no. never,"Not being taken seriously; either by people not listening to what I have to say and/or wanting to verify with others instead of taking me seriously (even with 15-20 years experience already). Having my behaviour called out as ""nagging"" (when being persistent). People talking down to me / being condescending. Being told ""women should be able to multitask"" (no. I reserve the right to do one thing at a time too!)",Not being taken seriously as a woman in tech; people not listening to my opinions/experience/expertise until/unless it is repeated by a (white) man. (And then not getting the credit.),I have witnessed this behaviour,I have witnessed this behaviour,Agree,Agree,Strongly agree,Agree,Female. Non-binary,,no thank you
Yes,Less than 2 years,26-35,Male,Netherlands,Masters degree,Full-time (38+ hours a week),Researcher,1001 - 10.000,6 - 10,Never,Never,Never,Never,Never,Untrue,Neutral,Strongly agree,no. never,no. never,As I was the only person on my team. I was the special kid around. People came to ask me random technical questions / tips. and were very supportive if I needed something.,"Strict hierarchy. I am not very good to cope with it. I have to note that efforts were made by management to ""flatten"" the structure via informal meetings / team bonding events / etc.",I haven't experienced or witnessed this behaviour,I have witnessed this behaviour,Strongly agree,Agree,Neutral,Agree,Female. Non-binary,"I had three female colleagues on my team. One was the PM. and she was the pillar holding 
together the whole software product. She was always busy. respected. and even admired for her skills. The second was an eager dev. she didn't excel. but was hard working and treated on par of the other hard working devs. The last one was a junior tester. and she severely lacked some crucial skills required to perform her tasks independently. As the company had in place a three round hiring process (including the assessment of attitudinal and hard skills). some questions arose on how she ended up in that unpleasant situation.",Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,6-10 years,26-35,Female,Canada,Bachelors degree,Full-time (38+ hours a week),Developer,1001 - 10.000,6 - 10,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Untrue,Agree,Agree,no. never,one or two times,I went on vacation and came back sick. I was told that a colleague would take over my work while I was away. When I came back I was still unwell and only somewhat able to work. but I was expected to get the project done on time because no one looked at it while I was away. I struggled to complete it and my manager micromanaged me. Later he decided that programming wasn't for me and that I should join the support team. which I did because I believed him. I quit a few months later for another programming job where I'm doing great. I still have contacts at my old company. I found out that a friend had something similar happen to her. but she was given time to get better and was not asked to come back and work at full force. My illness was not taken seriously and because it affected my performance I wasn't cut out for programming. Hers was taken seriously. I'm not sure why she was favoured over me. We're both women.,No mentorship and always being put in sink or swim situations. I've now developed a bad habit of not asking for help unless I have honestly exhausted my own personal resources. I feel as if some colleagues have been given the grace to make mistakes and ask stupid questions whereas I have not been allowed such luxury.,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Neutral,Agree,Female,,no thank you
Yes,6-10 years,26-35,Female,United States,Bachelors degree,Full-time (38+ hours a week),Product owner,101 - 500,6 - 10,Always,Sometimes,Always,Always,Always,True,Strongly disagree,Disagree,three or four times,one or two times,Yes - my salary is definitely lower than that of my less experience male peers. and does not increase as quickly or as a result of positive outcomes for the company,,I have experienced this behaviour,I have experienced this behaviour,Disagree,Strongly disagree,Neutral,Strongly agree,Female. Non-binary,,no thank you
Yes,21+ years,46-55,Female,France,Bachelors degree,Full-time (38+ hours a week),Developer,10.001 - 100.000,6 - 10,Rarely,Never,Never,Never,Never,True,Strongly agree,Strongly agree,no. never,no. never,yes. but it's rather specific to French work culture. Female bosses have reviewed me unfairly low in order to not give me a bonus.,Deadlines and milestones. It's a tradeoff in how much time to take to learn things and how much to implement software,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Disagree,,,no thank you
Yes,11-15 years,36-45,Female,United States,Bachelors degree,Full-time (38+ hours a week),Analytic consultant,100.000+,6 - 10,Sometimes,Sometimes,Sometimes,Very often,Very often,Untrue,Neutral,Agree,More than four times,More than four times,Harrassed by coworker. newhires making more money than me with less experience,Physical and emotional harassment by coworkers,I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Agree,Agree,Agree,Strongly agree,Female. Non-binary,I recently got hired on an all female team and my salary increased 78% and I'm treated infinitely better than I ever have. and have numerous new opportunities as opposed to the last 15 years on all male teams.,no thank you
Yes,2-5 years,26-35,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,Less than 10,1 - 5,Sometimes,Rarely,Rarely,Never,Sometimes,Untrue,Strongly agree,Strongly agree,no. never,one or two times,In my first software job I was given less technical tasks when a male employee hired after me with less experience was given more technical work.,Finding a job that was appropriate for my skills and interests,I haven't experienced or witnessed this behaviour,I have experienced and witnessed this behaviour,Agree,Agree,Strongly agree,Agree,Female. Non-binary,,no thank you
Yes,2-5 years,18-25,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,10 - 100,6 - 10,Always,Very often,Very often,Rarely,Sometimes,Untrue,Neutral,Neutral,one or two times,three or four times,,People never take me seriously when I bring anything up. I've lost count of the problems that I foresaw months ago that could've been addressed earlier. and instead grew into massive technical debt.,I haven't experienced or witnessed this behaviour,I have experienced and witnessed this behaviour,Neutral,Disagree,Neutral,Strongly agree,Female. Non-binary,,no thank you
Yes,11-15 years,36-45,Male,Germany,Masters degree,Full-time (38+ hours a week),Data scientist,1001 - 10.000,6 - 10,Sometimes,Rarely,Rarely,Rarely,Never,Untrue,Disagree,Agree,one or two times,no. never,No.,,I haven't experienced or witnessed this behaviour,I have witnessed this behaviour,Agree,Agree,Agree,Strongly agree,Female. Non-binary,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,Less than 2 years,26-35,Male,Germany,Masters degree,Full-time (38+ hours a week),Data Engineer,1001 - 10.000,1 - 5,Sometimes,Rarely,Rarely,Never,Never,Untrue,Agree,Agree,no. never,no. never,,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Agree,Strongly agree,Strongly disagree,,I feel like these questions are very leading and have a certain bias. To at least balance some of this. it would have been nice to have the option not answer a question.,no thank you
Yes,6-10 years,26-35,Male,Germany,Masters degree,Full-time (38+ hours a week),Developer,10.001 - 100.000,6 - 10,Rarely,Sometimes,Never,Rarely,Never,Untrue,Agree,Agree,no. never,no. never,,,I have experienced and witnessed this behaviour,I have experienced this behaviour,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Female. Non-binary,,no thank you
Yes,2-5 years,18-25,Male,Germany,Masters degree,Full-time (38+ hours a week),Data scientist,501 - 1000,1 - 5,Rarely,Rarely,Rarely,Never,Never,Untrue,Agree,Neutral,no. never,no. never,,Too many useless meetings. Wasted time on ineffective communication,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Agree,Agree,Strongly disagree,,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,Less than 2 years,26-35,Female,United States,High school degree or equivalent,Full-time (38+ hours a week),Developer,10 - 100,1 - 5,Rarely,Sometimes,Very often,Rarely,Never,Untrue,Disagree,Agree,no. never,More than four times,The biggest problem at my workplace is cronyism.,Being underestimated.,I have witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Disagree,Strongly agree,Neutral,,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,2-5 years,18-25,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,1001 - 10.000,6 - 10,Sometimes,Rarely,Rarely,Never,Never,True,Agree,Strongly agree,no. never,one or two times,,,I have experienced this behaviour,I have experienced this behaviour,Agree,Agree,Agree,Agree,Female. Non-binary,,no thank you
Yes,21+ years,46-55,Male,Argentina,Bachelors degree,Full-time (38+ hours a week),Data scientist,101 - 500,1 - 5,Sometimes,Rarely,Never,Rarely,Rarely,Untrue,Agree,Agree,no. never,no. never,,,I have witnessed this behaviour,I have witnessed this behaviour,Neutral,Agree,Neutral,Strongly agree,Non-binary,,no thank you
Yes,Less than 2 years,18-25,Gender is binary and I am female.,United States,Masters degree,Full-time (38+ hours a week),Consultant,10 - 100,1 - 5,Sometimes,Very often,Sometimes,Sometimes,Rarely,Untrue,Neutral,Neutral,no. never,More than four times,Others getting credit for my work,Being young and female. People are prejudice against me based on how I look,I haven't experienced or witnessed this behaviour,I have experienced this behaviour,Neutral,Disagree,Neutral,Strongly agree,Non-binary,Y’all need to chill with the non binary crap,no thank you
Yes,2-5 years,26-35,Female,United States,Masters degree,Full-time (38+ hours a week),Developer,101 - 500,6 - 10,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Untrue,Agree,Agree,one or two times,More than four times,,Working almost exclusively with men and under men makes it harder to progress in my career.,I have witnessed this behaviour,I have witnessed this behaviour,Agree,Disagree,Agree,Strongly agree,Female. Non-binary,,no thank you
Yes,Less than 2 years,26-35,Male,Brazil,Masters degree,Full-time (38+ hours a week),Developer,10 - 100,1 - 5,Rarely,Sometimes,Rarely,Never,Never,Untrue,Neutral,Agree,no. never,one or two times,,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Neutral,Neutral,Neutral,,,Yes I would like to obtain a summary of the results
Yes,6-10 years,36-45,Female,Denmark,Masters degree,Full-time (38+ hours a week),Designer,10 - 100,1 - 5,Sometimes,Sometimes,Always,Very often,Always,True,Disagree,Neutral,one or two times,no. never,,,I haven't experienced or witnessed this behaviour,I have witnessed this behaviour,Disagree,Neutral,Neutral,Agree,Female,,no thank you
